id|date|name|nickname|no_rating|message
91|2020-01-22|27. Felice a Testaccio|FraGirasole|50|La calcio e pepe di questo ristorante è all’altezza della sua reputazione.. BUONISSIMA! Il carciofo alla romana è stato il migliore che abbia assaggiato nei miei giorni a Roma. Ho un ricordo bellissimo di questo pranzo.
91|2020-01-20|27. Felice a Testaccio|Dario123456789011233|10|Arrivato alle 20.40 mi dicono che posso sedermi solo se termino entro le 21.30. Servizio velocissimo ma senza un minimo di gentilezza da camerieri stressati. Ambiente contemporaneo che non ha niente che vedere con il vecchio Felice che ho felicemente sperimentato 20 anni fa. Che peccato, segno dei tempi che cambiano. Dario
91|2020-01-20|27. Felice a Testaccio|fabriziol811|50|Finalmente dopo avere girato più di un locale recensito quale “tipica cucina romana” e poi rilevatosi più o meno una “sola”, finalmente abbiamo trovato il posto giusto. Qualche problema per prenotare perché sempre pieno, ma per quanto la cosa indispettisca, onestamente difficile non pensare che se la richiesta supera l’offerta un perché ci sarà. Così abbiamo insistito e alla fine puntuali ci siamo presentati, il locale era ancora chiuso, ma fuori dalla porta c’era già la fila. Non appena ha aperto in pochi minuti era al completo in ogni ordine e posto, eppure il locale NON è piccolo. Una macchina da guerra, non appena seduti un cameriere ci ha dato il benvenuto e con fare cortese è assai professionale nel giro di 5 minuti aveva già preso comanda è servito le bevande. Inutile dilungarsi sui piatti, tutti molto buoni, anche se non mi posso assolutamente esimere da un commosso ricordo per quella “cacio e pepe”...occuperà per molto tempo le mie fantasie, specie in periodi di dieta. Una cena ottima (coronata da un rapporto prezzo qualità assolutamente soddisfacente), una bella conferma, una splendida serata, insomma...una scelta FELICE.
91|2020-01-19|27. Felice a Testaccio|lucieffe|50|Abbiamo prenotato con anticipo perché a tutti costi volevamo assaggiare la famosa Cacio e Pepe e siamo state davvero molto soddisfatte. Anche la carbonara, il carciofo alla romana e il carciofo e le verdure fritte meritano di essere assaggiati. Abbiamo speso in 7 circa 40 euro a testa avendo preso primo, secondi condivisi, dolci condivisi e bevendo acqua e vino. Anche il servizio molto efficiente e gentile. Tornerò senz altro. 
91|2020-01-19|27. Felice a Testaccio|giacomobrancaccio|50|Ambiente accogliente, informale, conviviale, Trattoria Romana  si  ma di livello. Il cibo è eccezionale ed è cucinato in modo impeccabile come tradizione comanda. Il ristorante offre sempre piatti classici della tradizione come carbonara, amatriciana, cacio e pepe, abbacchio, carciofi alla giudea e, a seconda del giorno, altre pietanze sempre molto buone. I tempi di attesa non sono lunghi ma, per avere l occasione di mangiare quì, è d obbligo prenotare con largo anticipo poiché, per la sua popolarità, è quasi sempre pieno. Il servizio è molto buono, il personale è cordiale e attento; l unica pecca è rappresentata dall organizzazione in turni sia a pranzo che a cena, archi temporali da rispettare rigorosamente perchè se si sforano si rischia di essere cordialmente invitati ad alzarsi. A me è successo, era il mio compleanno, avevo ospiti e non è stato gradevole!!
91|2020-01-19|27. Felice a Testaccio|J6877GBalbertob|10|qualità assolutamente nella media. Non abbiamo trovato nulla di eccezionale, carbonara la faccio più buona io a casa. Diventato col tempo un ristorante acchiappa turisti per spennarli.In 2 persone speso 90 euro per mangiare 1 antipasto in due, 2 primi e 1 secondo in due, vino da 375ml 18€ (follia pura).Materie prime dicono? Assolutamente no ho mangiato in altri ristoranti nella zona di testaccio, trastevere e garbatella, ristoranti con 10 tavolini pagando 15/20€ a persone e qualità del cibo divina.Un ristorante che va avanti solo per il nome che ha, ma che è caduto e cadrà ancora più in basso se continueranno a puntare sulla classica girata del tonnarello che piace tanto al turista (ma al romano piace MAGNA BENE) non vedersi uno spettacolo
91|2020-01-18|27. Felice a Testaccio|AlessandroDomenico|50|Locale curato, accoglienza garbatamente calorosa. Primi strepitosi.... menzione particolare per la cacio e pepe!!! Secondi della tradizione buonissimi! Consiglio di prenotare con buon anticipo Consigliatissimo!!!
91|2020-01-17|27. Felice a Testaccio|ChiaraTal|40|Cibo ottimo, abbiamo preso una cacio e pepe è una carbonara. 4 stelle e non 5 perché - abbiamo chiesto il pane due volte e non ce lo hanno portato- non ci hanno servito insieme i due primi- prezzi davvero esagerati (soprattutto i vini)Però molto buono!
91|2020-01-17|27. Felice a Testaccio|elenap402|40|Questo ristorante è un istituzione a Roma. Decisamente una tappa da fare se siete nella capitale. Già nell’arredamento si percepisce che non ci si trova in una semplice osteria a Trastevere ma in un tempio del gusto dove nulla è lasciato al caso. Un’osteria che mantiene ben salda la tradizione ma lo fa cin eleganza e stile. Ho particolarmente apprezzato l’atmosfera: una commistione tra il passato, caratterizzato bene dalle travi in legno e le pietre in vista, e l’arredamento moderno sottolineato anche dalla raffinatezza delle divise del personale, segnale che nulla viene lasciato al caso. Per essere un’osteria i prezzi sono leggermente più alti della media, ma considerando l’esperienza nella sua interezza ne vale la pena. Vi assicuro che una cacio e pepe così non l’avete mai mangiata, provare per credere. Necessaria la prenotazione con largo anticipo.
91|2020-01-16|27. Felice a Testaccio|AlbFed|40|Dato che eravamo in zona Testaccio, abbiamo deciso di prenotare un tavolino da Felice.Siamo entrati con le idee molto chiare: provare la famosa cacio e pepe.Che dire, porzione immensa che ovviamente, non abbiamo faticato a finire, davvero squisita. Abbiamo assaggiato anche un tiramisù, da 10L.L ambiente è molto raffinato, non rappresenta l immaginario del ristorante tipico romano ma merita assolutamente una visita, per noi anche due. Prezzi un filo più alti della media ma comunque corretti.Personale molto cordiale.
